timestamp,t_rel_s,position_tics,velocity_rpm
2026-08-14T12:31:52.732,0.413,2884,0.00
2026-08-14T12:31:53.627,1.320,2884,0.00
2026-08-14T12:31:54.624,2.315,2885,0.00
2026-08-14T12:31:55.724,3.407,3227,7.80
2026-08-14T12:31:56.751,4.432,4308,12.47
2026-08-14T12:31:57.717,5.395,5575,32.83
2026-08-14T12:31:58.774,6.459,7898,43.47
2026-08-14T12:31:59.622,7.316,10711,54.97
2026-08-14T12:32:00.667,8.340,17705,145.12
2026-08-14T12:32:01.672,9.359,23394,149.73
2026-08-14T12:32:02.683,10.370,33723,213.90
2026-08-14T12:32:03.622,11.314,39013,209.23
2026-08-14T12:32:04.751,12.427,46009,133.97
2026-08-14T12:32:05.665,13.349,54229,189.77
2026-08-14T12:32:06.621,14.314,61101,206.38
2026-08-14T12:32:07.711,15.388,69647,178.83
2026-08-14T12:32:08.736,16.412,78147,210.93
2026-08-14T12:32:09.641,17.330,84535,204.95
2026-08-14T12:32:10.677,18.366,91974,152.92
2026-08-14T12:32:11.712,19.389,98132,176.65
2026-08-14T12:32:12.641,20.333,91659,-38.12
2026-08-14T12:32:13.754,21.437,86890,-130.48
2026-08-14T12:32:14.770,22.453,83518,-100.33
2026-08-14T12:32:15.624,23.315,76868,-155.00
2026-08-14T12:32:16.737,24.406,70897,-129.00
2026-08-14T12:32:17.645,25.321,65750,-138.32
2026-08-14T12:32:18.617,26.313,58441,-188.47
2026-08-14T12:32:19.631,27.315,53103,-122.88
2026-08-14T12:32:20.720,28.400,47767,-147.25
2026-08-14T12:32:21.751,29.426,41886,-141.95
2026-08-14T12:32:22.765,30.448,35873,-127.00
2026-08-14T12:32:23.696,31.370,32262,-140.78
2026-08-14T12:32:24.618,32.313,37896,14.93
2026-08-14T12:32:25.761,33.419,47181,243.20
2026-08-14T12:32:26.762,34.440,55264,192.90
2026-08-14T12:32:27.633,35.322,67282,283.90
2026-08-14T12:32:28.709,36.388,82949,340.40
2026-08-14T12:32:29.636,37.328,95055,359.35
2026-08-14T12:32:30.631,38.321,106990,268.27
2026-08-14T12:32:31.667,39.349,120691,315.95
2026-08-14T12:32:32.625,40.317,133407,354.52
2026-08-14T12:32:33.635,41.321,144073,271.57
2026-08-14T12:32:34.750,42.429,151742,221.20
2026-08-14T12:32:35.670,43.351,164650,273.12
2026-08-14T12:32:36.622,44.314,177044,316.00
2026-08-14T12:32:37.619,45.312,190713,326.95
2026-08-14T12:32:38.644,46.323,200986,329.23
2026-08-14T12:32:39.652,47.335,200986,76.70
2026-08-14T12:32:40.724,48.407,200986,0.00
2026-08-14T12:32:41.801,49.476,200986,0.00
2026-08-14T12:32:42.654,50.339,200986,0.00
2026-08-14T12:32:43.760,51.438,200986,0.00
2026-08-14T12:32:44.624,52.315,200986,0.00
2026-08-14T12:32:45.651,53.334,200867,-3.08
2026-08-14T12:32:46.718,54.400,194128,-96.82
2026-08-14T12:32:47.618,55.310,184976,-173.50
2026-08-14T12:32:48.622,56.313,174458,-254.75
2026-08-14T12:32:49.637,57.325,174459,-135.05
2026-08-14T12:32:50.715,58.393,174459,0.03
2026-08-14T12:32:51.631,59.321,174459,0.00
2026-08-14T12:32:52.659,60.346,174538,0.00
2026-08-14T12:32:53.691,61.376,171199,-46.23
2026-08-14T12:32:54.621,62.312,164439,-129.25
2026-08-14T12:32:55.738,63.420,160981,-90.12
2026-08-14T12:32:56.640,64.316,154667,-156.23
2026-08-14T12:32:57.637,65.322,146694,-174.18
2026-08-14T12:32:58.710,66.388,139416,-191.70
2026-08-14T12:32:59.737,67.413,133342,-216.43
2026-08-14T12:33:00.622,68.309,129583,-63.45
2026-08-14T12:33:01.627,69.315,121489,-196.60
2026-08-14T12:33:02.697,70.383,117704,-113.10
2026-08-14T12:33:03.629,71.319,110664,-137.92
2026-08-14T12:33:04.660,72.349,105024,-190.70
2026-08-14T12:33:05.666,73.351,105024,-29.98
2026-08-14T12:33:06.614,74.309,91080,-130.35
2026-08-14T12:33:07.716,75.399,74239,-491.55
2026-08-14T12:33:08.734,76.414,53773,-409.15
2026-08-14T12:33:09.635,77.322,36519,-499.35
2026-08-14T12:33:10.688,78.369,20853,-383.70
2026-08-14T12:33:11.703,79.386,5832,-443.30
2026-08-14T12:33:12.634,80.319,-14709,-355.55
2026-08-14T12:33:13.753,81.432,-30833,-528.88
2026-08-14T12:33:14.659,82.321,-31925,-181.90
2026-08-14T12:33:15.700,83.377,-31925,0.00
2026-08-14T12:33:16.629,84.319,-30963,0.00
2026-08-14T12:33:17.754,85.435,-18981,237.45
2026-08-14T12:33:18.632,86.319,-7790,231.10
2026-08-14T12:33:19.708,87.379,6678,359.12
2026-08-14T12:33:20.722,88.405,18923,301.42
2026-08-14T12:33:21.634,89.313,32879,365.68
2026-08-14T12:33:22.677,90.351,40443,195.07
2026-08-14T12:33:23.783,91.309,46472,195.68
2026-08-14T12:33:24.654,92.318,52486,224.75
2026-08-14T12:33:25.631,93.316,52486,0.00
2026-08-14T12:33:26.676,94.365,52486,0.00
