timestamp,t_rel_s,position_tics,velocity_rpm
2026-08-27T12:13:18.948,0.465,0,0.00
2026-08-27T12:13:19.990,1.507,0,0.00
2026-08-27T12:13:20.946,2.464,1245,31.12
2026-08-27T12:13:21.987,3.505,2617,34.30
2026-08-27T12:13:22.958,4.475,4043,35.65
2026-08-27T12:13:23.942,5.459,5136,27.33
2026-08-27T12:13:24.948,6.466,6357,30.53
2026-08-27T12:13:26.023,7.540,7783,35.65
2026-08-27T12:13:26.929,8.447,7783,0.00
2026-08-27T12:13:27.979,9.496,7781,-0.05
2026-08-27T12:13:29.001,10.518,5845,-48.40
2026-08-27T12:13:29.944,11.461,4723,-28.05
2026-08-27T12:13:31.022,12.540,3085,-40.95
2026-08-27T12:13:31.991,13.508,755,-58.25
2026-08-27T12:13:32.946,14.463,-1168,-48.07
2026-08-27T12:13:33.988,15.506,-3040,-46.80
2026-08-27T12:13:34.948,16.465,-5903,-71.57
2026-08-27T12:13:35.933,17.450,-8507,-65.10
2026-08-27T12:13:36.981,18.498,-10291,-44.60
2026-08-27T12:13:38.015,19.532,-12287,-49.90
2026-08-27T12:13:38.949,20.466,-10835,36.30
2026-08-27T12:13:39.990,21.508,-8202,65.82
2026-08-27T12:13:40.983,22.500,-6287,47.88
2026-08-27T12:13:41.934,23.451,-4420,46.67
2026-08-27T12:13:42.954,24.472,-1305,77.88
2026-08-27T12:13:44.065,25.583,1046,58.77
2026-08-27T12:13:44.925,26.443,2977,48.27
2026-08-27T12:13:45.975,27.493,4962,49.62
2026-08-27T12:13:46.987,28.505,4997,0.88
2026-08-27T12:13:47.946,29.464,4997,0.00
